crop_type,polygon_ids
Rice,627
Rice,627
Rice,627
Rice,627
Rice,627
Rice,627
Rice,627
Rice,627
Rice,627
Rice,627
Rice,627
Rice,627
Rice,627
Rice,627
Rice,627
Rice,627
Rice,627
Rice,627
Rice,627
Rice,627
Rice,627
Rice,627
Rice,627
Rice,627
Rice,627
Rice,627
Rice,627
Rice,627
Rice,627
Rice,627
Rice,627
Rice,627
Rice,627
Rice,627
Rice,627
Rice,627
Rice,627
Rice,627
Rice,627
Rice,627
Rice,627
Rice,627
Rice,627
Rice,627
Rice,627
Rice,627
Rice,627
Rice,627
Rice,628
Rice,628
Rice,628
Rice,628
Rice,628
Rice,628
Rice,628
Rice,628
Rice,628
Rice,628
Rice,628
Rice,628
Rice,628
Rice,628
Rice,628
Rice,628
Rice,628
Rice,628
Rice,628
Rice,628
Rice,628
Rice,628
Rice,628
Rice,628
Rice,628
Rice,628
Rice,628
Rice,628
Beans,629
Beans,629
Beans,629
Beans,629
Beans,629
Beans,629
Beans,629
Beans,629
Beans,629
Beans,629
Beans,629
Beans,629
Beans,629
Beans,629
Beans,629
Beans,629
Beans,629
Beans,629
Beans,629
Beans,629
Beans,629
Beans,629
Beans,629
Beans,629
Beans,629
Beans,629
Beans,629
Beans,629
Beans,629
Beans,629
Beans,629
Beans,629
Beans,629
Beans,629
Beans,629
Beans,629
Beans,629
Beans,629
Beans,629
Beans,629
Beans,629
Beans,629
Beans,629
Beans,629
Beans,629
Beans,629
Beans,629
Beans,629
Rice,630
Rice,630
Rice,630
Rice,630
Rice,630
Rice,630
Rice,630
Rice,631
Rice,631
Rice,631
Rice,631
Rice,631
Rice,631
Rice,631
Rice,631
Rice,631
Rice,631
Rice,631
Rice,631
Rice,631
Rice,631
Rice,631
Beans,632
Beans,632
Beans,632
Beans,632
Beans,632
Beans,632
Beans,632
Beans,632
Beans,632
Beans,633
Beans,633
Beans,633
Beans,633
Beans,633
Beans,633
Beans,633
Beans,633
Beans,633
Beans,633
Beans,633
Beans,633
Beans,633
Beans,633
Beans,633
Beans,633
Beans,633
Beans,633
Rice,634
Rice,634
Rice,634
Rice,634
Rice,634
Rice,634
Rice,634
Rice,634
Rice,634
Rice,634
Rice,634
Rice,634
Rice,634
Rice,634
Rice,634
Rice,634
Rice,634
Rice,634
Rice,634
Rice,634
Rice,634
Rice,634
Rice,634
Rice,635
Rice,635
Rice,635
Rice,635
Rice,635
Rice,635
Rice,635
Rice,635
Rice,635
Rice,635
Rice,635
Rice,635
Rice,635
Rice,635
Rice,635
Rice,635
Rice,635
Rice,635
Rice,635
Rice,635
Rice,635
Rice,635
Rice,635
Rice,635
Rice,635
Rice,635
Rice,635
Rice,635
Rice,635
Rice,635
Rice,635
Rice,635
Rice,635
Rice,636
Rice,636
Rice,636
Rice,636
Rice,636
Rice,636
Rice,636
Rice,636
Rice,636
Rice,636
Rice,636
Rice,636
Rice,636
Rice,636
Rice,636
Rice,636
Rice,636
Rice,636
Rice,636
Maize,637
Maize,637
Maize,637
Maize,637
Maize,637
Maize,637
Maize,637
Maize,637
Maize,637
Maize,637
Maize,637
Maize,637
Maize,637
Maize,637
Maize,637
Maize,637
Maize,637
Maize,637
Maize,637
Maize,637
Maize,637
Maize,637
Maize,637
Maize,637
Maize,637
Maize,637
Maize,637
Maize,637
Maize,637
Maize,637
Maize,637
Maize,637
Beans,639
Beans,639
Beans,639
Beans,639
Maize,640
Maize,640
Maize,640
Maize,640
Maize,640
Maize,640
Maize,640
Maize,640
Maize,640
Maize,640
Maize,640
Maize,640
Maize,640
Maize,640
Maize,640
Maize,640
Rice,641
Rice,641
Rice,641
Rice,641
Rice,641
Rice,641
Rice,641
Rice,641
Rice,641
Rice,641
Rice,641
Rice,641
Rice,641
Rice,641
Rice,641
Rice,641
Rice,641
Rice,641
Beans,642
Beans,642
Beans,642
Beans,642
Beans,642
Beans,642
Beans,642
Beans,642
Beans,642
Beans,642
Beans,642
Beans,642
Beans,642
Beans,642
Beans,642
Beans,642
Beans,642
Beans,642
Beans,642
Beans,642
Beans,642
Beans,642
Rice,643
Rice,643
Rice,643
Rice,643
Rice,643
Rice,644
Rice,644
Rice,644
Rice,644
Rice,645
Rice,645
Rice,645
Rice,645
Rice,645
Rice,645
Rice,645
Rice,645
Rice,645
Rice,645
Rice,645
Rice,645
Rice,645
Rice,646
Rice,646
Rice,646
Rice,646
Rice,646
Rice,646
Maize / Beans,647
Maize / Beans,647
Maize / Beans,647
Maize / Beans,647
Maize / Beans,647
Maize / Beans,647
Maize,648
Maize,648
Maize,648
Maize,648
Maize,648
Maize,648
Maize,648
Maize,648
Maize,648
Maize,648
Maize,648
Maize,648
Maize,648
Maize,648
Maize,648
Maize,648
Maize,648
Maize,648
Maize,648
Maize,648
Maize,648
Maize,648
Maize,648
Maize,648
Maize,648
Maize / Beans,649
Maize / Beans,649
Maize / Beans,649
Maize / Beans,649
Maize / Beans,649
Maize / Beans,649
Maize / Beans,649
Maize / Beans,649
Maize / Beans,649
Maize / Beans,649
Maize / Beans,649
Maize / Beans,649
Maize / Beans,649
Maize / Beans,649
Sorghum,650
Sorghum,650
Sorghum,650
Sorghum,650
Sorghum,650
Sorghum,650
Sorghum,650
Sorghum,650
Sorghum,650
Sorghum,650
Sorghum,650
Sorghum,650
Sorghum,650
Rice,651
Rice,651
Rice,651
Rice,651
Rice,651
Rice,651
Rice,651
Rice,651
Rice,651
Beans,652
Beans,652
Beans,652
Beans,652
Beans,652
Beans,652
Beans,652
Beans,652
Beans,652
Beans,652
Beans,652
Beans,652
Beans,652
Beans,652
Beans,652
Beans,652
Beans,652
Beans,652
Beans,652
Beans,652
Beans,652
Maize / Beans,653
Maize / Beans,653
Maize / Beans,653
Maize / Beans,653
Maize / Beans,653
Maize / Beans,653
Maize / Beans,653
Maize / Beans,653
Maize / Beans,653
Maize / Beans,653
Maize / Beans,653
Maize / Beans,653
Maize / Beans,653
Maize / Beans,653
Maize / Beans,653
Maize / Beans,653
Maize / Beans,653
Maize / Beans,653
Groundnuts,654
Groundnuts,654
Groundnuts,654
Groundnuts,654
Groundnuts,654
Groundnuts,654
Groundnuts,654
Groundnuts,654
Groundnuts,654
Beans,655
Beans,655
Beans,655
Beans,655
Beans,655
Beans,655
Beans,655
Beans,655
Beans,655
Sorghum / Groundnuts,656
Sorghum / Groundnuts,656
Sorghum / Groundnuts,656
Sorghum / Groundnuts,656
Sorghum / Groundnuts,656
Sorghum / Groundnuts,656
Sorghum / Groundnuts,656
Sorghum / Groundnuts,656
Sorghum / Groundnuts,656
Sorghum / Groundnuts,656
Sorghum / Groundnuts,656
Sorghum / Groundnuts,656
Sorghum / Groundnuts,656
Maize / Beans,657
Maize / Beans,657
Maize / Beans,657
Maize / Beans,657
Maize / Beans,657
Maize / Beans,657
Maize / Beans,657
Maize / Beans,657
Maize / Beans,657
Maize / Beans,657
Maize / Beans,657
Rice,658
Rice,658
Rice,658
Rice,658
Rice,658
Rice,658
Rice,658
Rice,658
Rice,658
Rice,658
Rice,658
Rice,658
Rice,658
Rice,658
Rice,658
Rice,658
Rice,658
Maize / Beans,659
Maize / Beans,659
Maize / Beans,659
Maize / Beans,659
Maize / Beans,659
Maize / Beans,659
Maize / Beans,659
Maize / Beans,659
Maize / Beans,659
Maize / Beans,659
Maize / Beans,659
Maize / Beans,659
Maize / Beans,659
Maize / Beans,659
Maize / Beans,659
Maize / Beans,659
Maize / Beans,659
Maize / Beans,659
Maize / Beans,659
Maize / Beans,659
Maize / Beans,659
Maize / Beans,659
Maize / Beans,659
Maize / Beans,659
Maize / Beans,659
Groundnuts,660
Groundnuts,660
Groundnuts,660
Groundnuts,660
Groundnuts,660
Groundnuts,660
Groundnuts,660
Groundnuts,660
Groundnuts,660
Groundnuts,660
Rice,661
Rice,661
Rice,661
Rice,661
Rice,661
Rice,661
Rice,661
Beans,662
Beans,662
Beans,662
Beans,662
Beans,662
Beans,662
Beans,662
Beans,662
Beans,662
Beans,662
Beans,663
Beans,663
Beans,663
Rice,664
Rice,664
Rice,664
Rice,664
Rice,664
Beans,666
Beans,666
Beans,666
Beans,666
Beans,666
Beans,666
Beans,666
Beans,666
Beans,666
Beans,666
Beans,666
Beans,666
Beans,666
Beans,666
Beans,666
Beans,666
Beans,666
Maize,667
Maize,667
Maize,667
Maize,667
Maize,667
